Iterations,Accuracy (%),Attack,Aggregator,Optimizer,seed,LR
270,95.47275641025641,mimic,CM,Baseline,0,0.01
300,95.76322115384616,mimic,CM,Baseline,0,0.01
330,96.1338141025641,mimic,CM,Baseline,0,0.01
360,96.54447115384616,mimic,CM,Baseline,0,0.01
390,96.68469551282051,mimic,CM,Baseline,0,0.01
420,96.82491987179488,mimic,CM,Baseline,0,0.01
450,88.70192307692308,mimic,CM,Baseline,0,0.01
480,89.94391025641026,mimic,CM,Baseline,0,0.01
510,90.87540064102564,mimic,CM,Baseline,0,0.01
540,88.6318108974359,mimic,CM,Baseline,0,0.01
570,88.65184294871794,mimic,CM,Baseline,0,0.01
600,88.31129807692308,mimic,CM,Baseline,0,0.01
630,88.73197115384616,mimic,CM,Baseline,0,0.01
660,88.97235576923077,mimic,CM,Baseline,0,0.01
690,88.80208333333333,mimic,CM,Baseline,0,0.01
720,88.72195512820512,mimic,CM,Baseline,0,0.01
750,88.62179487179488,mimic,CM,Baseline,0,0.01
780,88.60176282051282,mimic,CM,Baseline,0,0.01
810,88.73197115384616,mimic,CM,Baseline,0,0.01
840,88.66185897435898,mimic,CM,Baseline,0,0.01
870,88.93229166666667,mimic,CM,Baseline,0,0.01
900,88.7520032051282,mimic,CM,Baseline,0,0.01
930,88.86217948717949,mimic,CM,Baseline,0,0.01
960,88.86217948717949,mimic,CM,Baseline,0,0.01
990,89.03245192307692,mimic,CM,Baseline,0,0.01
1020,88.96233974358974,mimic,CM,Baseline,0,0.01
1050,88.85216346153847,mimic,CM,Baseline,0,0.01
1080,88.87219551282051,mimic,CM,Baseline,0,0.01
1110,88.9423076923077,mimic,CM,Baseline,0,0.01
1140,89.04246794871794,mimic,CM,Baseline,0,0.01
1170,89.00240384615384,mimic,CM,Baseline,0,0.01
1200,89.0224358974359,mimic,CM,Baseline,0,0.01
1230,89.01241987179488,mimic,CM,Baseline,0,0.01
1260,89.12259615384616,mimic,CM,Baseline,0,0.01
1290,88.83213141025641,mimic,CM,Baseline,0,0.01
1320,88.95232371794872,mimic,CM,Baseline,0,0.01
1350,89.00240384615384,mimic,CM,Baseline,0,0.01
1380,89.05248397435898,mimic,CM,Baseline,0,0.01
1410,89.20272435897436,mimic,CM,Baseline,0,0.01
1440,89.0224358974359,mimic,CM,Baseline,0,0.01
1470,89.12259615384616,mimic,CM,Baseline,0,0.01
1500,89.04246794871794,mimic,CM,Baseline,0,0.01
30,31.049679487179485,BF,CM,Byz-NSGDM,0,0.01
