Iterations,Accuracy (%),Attack,Aggregator,Momentum,LR,seed
300,14.783653846153847,BF,RFA,0.0,0.001,0
330,15.084134615384615,BF,RFA,0.0,0.001,0
360,15.474759615384615,BF,RFA,0.0,0.001,0
390,15.805288461538462,BF,RFA,0.0,0.001,0
420,16.185897435897434,BF,RFA,0.0,0.001,0
450,16.396233974358974,BF,RFA,0.0,0.001,0
480,16.736778846153847,BF,RFA,0.0,0.001,0
510,17.057291666666668,BF,RFA,0.0,0.001,0
540,17.377804487179485,BF,RFA,0.0,0.001,0
570,17.548076923076923,BF,RFA,0.0,0.001,0
600,17.78846153846154,BF,RFA,0.0,0.001,0
30,61.608573717948715,BF,RFA,0.0,0.05,0
60,59.85576923076923,BF,RFA,0.0,0.05,0
90,61.89903846153846,BF,RFA,0.0,0.05,0
120,64.13261217948718,BF,RFA,0.0,0.05,0
150,67.81850961538461,BF,RFA,0.0,0.05,0
180,71.11378205128206,BF,RFA,0.0,0.05,0
210,71.46434294871794,BF,RFA,0.0,0.05,0
240,71.77483974358974,BF,RFA,0.0,0.05,0
270,72.03525641025641,BF,RFA,0.0,0.05,0
300,72.42588141025641,BF,RFA,0.0,0.05,0
330,72.62620192307692,BF,RFA,0.0,0.05,0
360,72.70633012820512,BF,RFA,0.0,0.05,0
390,72.88661858974359,BF,RFA,0.0,0.05,0
420,73.10697115384616,BF,RFA,0.0,0.05,0
450,73.25721153846153,BF,RFA,0.0,0.05,0
480,73.34735576923077,BF,RFA,0.0,0.05,0
510,73.44751602564102,BF,RFA,0.0,0.05,0
540,73.59775641025641,BF,RFA,0.0,0.05,0
570,73.67788461538461,BF,RFA,0.0,0.05,0
600,73.69791666666667,BF,RFA,0.0,0.05,0
30,78.01482371794872,BF,RFA,0.5,0.5,256
60,76.0917467948718,BF,RFA,0.5,0.5,256
90,75.4707532051282,BF,RFA,0.5,0.5,256
120,68.80008012820512,BF,RFA,0.5,0.5,256
150,68.19911858974359,BF,RFA,0.5,0.5,256
180,76.2119391025641,BF,RFA,0.5,0.5,256
210,72.51602564102564,BF,RFA,0.5,0.5,256
240,74.35897435897436,BF,RFA,0.5,0.5,256
